City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
222,minas de marcona,-15.2119,-75.1103,295.06,73,58,4.81,PE,1707082187
223,cabo san lucas,22.8909,-109.9124,298.32,49,0,5.36,MX,1707081993
224,gamboula,4.1178,15.1393,297.95,26,28,1.35,CF,1707082187
225,zhangye,38.9342,100.4517,267.49,56,0,0.58,CN,1707082188
226,berbera,10.4396,45.0143,298.38,74,8,3.46,SO,1707082188
227,maiurno,13.4167,33.6667,297.42,19,26,7.21,SD,1707082188
228,vila do maio,15.1333,-23.2167,296.59,69,0,4.84,CV,1707082188
229,pangoa,-12.1167,-73.0,304.33,44,40,2.29,PE,1707082188
230,kenora,49.8167,-94.4337,275.69,100,100,1.03,CA,1707082189
231,betioky,-23.7167,44.3833,294.84,93,100,2.45,MG,1707082189
232,longyearbyen,78.2186,15.6401,272.06,74,75,12.35,SJ,1707082189
233,sorong,-0.8833,131.25,299.94,84,100,3.67,ID,1707082189
234,keflavik,64.0049,-22.5624,268.39,74,100,6.17,IS,1707082189
235,yulinshi,38.2906,109.7494,265.56,98,50,1.05,CN,1707082190
236,ferizaj,42.3706,21.1553,281.36,72,31,1.05,XK,1707082190
237,red hill,33.9996,-79.2581,287.04,46,100,5.21,US,1707082190
238,nadi,-17.8,177.4167,302.15,70,40,3.6,FJ,1707081955
239,valdosta,30.8327,-83.2785,290.12,89,100,5.14,US,1707082190
240,cavezzo,44.8364,11.0286,284.31,74,100,1.34,IT,1707082190
241,corn island,12.1694,-83.0418,300.31,80,90,7.53,NI,1707082191
242,la maddalena,41.2142,9.4083,287.18,86,4,8.56,IT,1707082191
243,fortuna,40.5982,-124.1573,285.34,76,40,5.66,US,1707082191
244,lata,40.1629,-8.3327,284.22,81,100,0.73,PT,1707082191
245,la passe,45.5549,-0.8967,281.28,90,97,2.34,FR,1707082191
246,juneau,58.3019,-134.4197,276.15,95,100,5.66,US,1707082071
247,byron bay,-28.65,153.6167,299.66,68,87,2.86,AU,1707082192
248,broken hill,-31.95,141.4333,296.14,76,100,10.7,AU,1707082192
249,kijang,35.2442,129.2139,280.0,88,100,12.15,KR,1707082192
250,port sudan,19.6175,37.2164,294.59,62,100,5.27,SD,1707082192
251,puerto baquerizo moreno,-0.9,-89.6,300.7,78,75,4.12,EC,1707081915
252,jieshi,22.8134,115.8257,291.26,89,11,2.67,CN,1707082193
253,urengoy,65.9667,78.3667,255.03,98,100,2.53,RU,1707082193
254,copala,16.65,-98.9833,302.76,45,5,7.51,MX,1707082193
255,walvis bay,-22.9575,14.5053,293.68,83,100,0.0,NA,1707082193
256,hakui,36.8833,136.7833,276.05,75,100,4.06,JP,1707082193
257,sattahip,12.6664,100.9007,300.92,94,20,1.54,TH,1707082143
258,pinillos,8.9193,-74.4677,305.36,57,87,1.16,CO,1707082194
259,uturoa,-16.7333,-151.4333,300.58,80,100,6.89,PF,1707082194
260,sakakah,29.9697,40.2064,281.91,41,0,0.55,SA,1707082194
261,diamantino,-14.4086,-56.4461,296.04,92,100,2.3,BR,1707082194
262,kolondieba,11.0882,-6.8926,301.2,14,100,2.37,ML,1707082195
263,vila velha,-20.3297,-40.2925,301.12,83,40,4.12,BR,1707082195
264,bardai,11.65,7.2333,292.99,16,74,5.27,NG,1707082195
265,ailuk,10.2197,169.9797,299.41,73,78,7.98,MH,1707082195
266,okha,53.5739,142.9478,250.09,93,15,5.71,RU,1707082195
267,dali,25.7,100.1833,276.72,87,13,2.25,CN,1707082196
268,mukalla,14.5425,49.1242,296.79,79,24,2.38,YE,1707082196
269,pachino,36.7186,15.0907,285.8,67,0,1.68,IT,1707082196
270,shelby,35.2001,-89.8668,282.67,95,100,3.6,US,1707082196
271,nurota,40.5614,65.6886,274.79,54,100,2.87,UZ,1707082196
272,jayapura,-2.5333,140.7,299.81,92,100,2.17,ID,1707082196
273,brecon,51.9461,-3.3889,283.02,93,100,7.89,GB,1707082197
274,thinadhoo,0.5333,72.9333,301.42,77,74,6.76,MV,1707082197
275,mana,5.6592,-53.7767,301.22,78,82,6.51,GF,1707082197
276,geraldton,-28.7667,114.6,287.38,82,16,3.09,AU,1707082197
277,lubango,-14.9172,13.4925,290.07,100,93,2.57,AO,1707082197
278,luena,-11.7833,19.9167,292.25,94,95,1.03,AO,1707082197
279,dunaivtsi,48.8891,26.8564,277.23,96,100,7.39,UA,1707082198
280,diego de almagro,-26.3667,-70.05,300.49,38,13,4.75,CL,1707082198
281,rawson,-43.3002,-65.1023,305.99,15,15,13.76,AR,1707082198
282,tosontsengel,48.7567,98.2839,245.14,100,100,0.22,MN,1707082198
283,tromso,69.6496,18.957,272.16,59,75,3.09,NO,1707082198
284,grenaa,56.4158,10.8783,278.27,93,100,11.65,DK,1707082198
285,coronel du graty,-27.6804,-60.9146,312.74,21,97,4.47,AR,1707082198
286,konarka,19.9,86.1167,294.37,85,0,2.72,IN,1707082199
287,kostomuksha,64.571,30.5767,264.84,95,100,4.02,RU,1707082199
288,hasaki,35.7333,140.8333,274.42,61,100,3.74,JP,1707082199
289,saudarkrokur,65.7461,-19.6394,260.82,86,88,2.29,IS,1707082199
290,saint peter,13.25,-59.6167,299.46,73,92,5.85,BB,1707082199
291,anserma,5.3328,-75.7911,291.29,88,98,1.13,CO,1707082200
292,hilongos,10.3744,124.7497,296.76,89,14,2.18,PH,1707082200
293,darzab,35.9774,65.3783,273.42,51,24,3.08,AF,1707082201
294,nasir,15.5894,32.5634,294.15,14,11,7.56,SD,1707082209
295,eufaula,31.8913,-85.1455,283.33,91,100,3.09,US,1707082209
296,mount isa,-20.7333,139.5,298.02,73,32,3.09,AU,1707082209
297,woolgoolga,-30.1106,153.2007,299.28,77,83,5.46,AU,1707082210
298,vorkuta,67.5,64.0,256.84,94,100,0.14,RU,1707082210
